indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industria_manufacturera,electricidad_gas_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,transporte_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,admin_publica_planes_seguridad_social_afiliacion_obligatoria,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_sociales_personales,impuestos_netos_subsidios
2013-01-01,64.01654372353445,45.051518437828456,92.30055344172963,124.30703676937105,140.3080311676578,148.74700755447816,147.5799551839631,166.2064241899149,172.086138489746,183.48864491553778,127.79542521595022,137.01683529045414,139.07298699966478,160.36178940118734,149.72142551820428,167.60589010316315
2013-02-01,72.8336011389129,114.13595389502183,85.5767207844107,119.40567923338507,125.70012488031563,149.4253024763208,144.64684355448182,158.2583592130854,163.74742027170316,174.99097294690839,127.45825593113813,139.44034346106542,140.1694906263752,151.93064142791485,146.9060085550144,156.3097626567306
2013-03-01,139.9196484899806,108.06570809950571,93.24479791951109,141.6337098820099,129.33447614480426,152.1494316142502,172.80932356954642,157.80481947655773,179.0386167922344,180.3979979041728,131.92656970129116,137.28870883838783,140.734216390071,165.27341208763386,145.01583206598065,163.90521028933432
2013-04-01,201.95961174708802,163.98784554516652,90.70288716991494,144.7143468868256,127.77918625313201,151.7883237070887,171.38481727898224,153.84353386334246,184.47056395961047,180.23203549918117,132.78466114596623,137.34569577759024,140.90724681043125,170.09971864705972,147.44708614991734,167.39189907664672
2013-05-01,298.0846647676212,135.5964786369354,94.56617208384336,148.70216804770692,133.385452512408,152.10601568481567,170.58286805692825,150.9362110573971,195.90061149522498,179.79658036269316,137.01036251149438,138.13925917129856,141.96891808576058,172.89122537998568,149.9335680448724,181.17905889178536
2013-06-01,198.2773133488261,222.651241618469,91.44981353127487,142.2259984040483,134.2231660324287,149.1347332217158,164.40773174552814,150.98087607135483,187.2046969494454,188.29472533855133,135.5099933514055,140.14339630389975,145.01768631031183,177.5339721145484,156.75519323717856,169.52344243716624
2013-07-01,107.06872936164058,227.79103587923782,94.43408685562544,144.3313499952253,142.6783178402671,152.848024762418,168.33612799916625,164.8282637548072,184.8173008240068,182.5615030433128,135.72395294553024,139.4802482651639,144.62762498097797,163.62394513771645,169.2002129265097,174.42116367744606
2013-08-01,69.62321492464443,182.3356005109328,94.07014721249102,149.40407658193809,141.8813558391637,153.29247940482028,168.52064641405985,159.6365756936006,183.2852818757845,187.54636071866932,135.16889820338682,140.40574846829858,144.91081106777148,164.00319347443067,155.5855504906249,176.0695428479758
2013-09-01,66.90422477980525,188.40370084045622,91.394398690019,150.76869508141803,132.1138884896492,154.21254049892846,168.5606755110567,160.52191928026423,179.19398561794662,185.36681138348698,134.80577533657544,140.41736050868388,145.60210181112748,161.29530698378875,151.5387699788111,171.36425202126102
2013-10-01,70.46848002818211,192.98718626648363,94.36121119971543,154.9208829044909,129.8678968015282,148.1197665453274,173.03279633105902,159.44170913987145,180.3279537334789,185.20012225914726,136.90409006338533,140.5921616344872,144.81343079256897,156.02657640893952,150.3911431971676,171.51280849012426
2013-11-01,84.42742837559491,136.24480726015972,90.58055698820965,148.0741601275429,127.94281413679462,146.14261691717743,164.60201369892863,159.60894948304446,179.69937251074106,179.1255153159524,137.07334171518275,141.29173986561676,145.42685810069574,156.00124583512815,152.29451779892872,163.30551902943526
